LLM可训练总参数量：25.830 百万
Epoch:[1/1](6900/22080) loss:2.874 lr:0.000438892558 epoch_Time:35.0min:
Epoch:[1/1](7000/22080) loss:2.822 lr:0.000435921015 epoch_Time:35.0min:
Epoch:[1/1](7100/22080) loss:2.531 lr:0.000432921955 epoch_Time:34.0min:
Epoch:[1/1](7200/22080) loss:2.350 lr:0.000429895988 epoch_Time:34.0min:
Epoch:[1/1](7300/22080) loss:2.521 lr:0.000426843724 epoch_Time:34.0min:
Epoch:[1/1](7400/22080) loss:2.749 lr:0.000423765782 epoch_Time:34.0min:
Epoch:[1/1](7500/22080) loss:4.207 lr:0.000420662785 epoch_Time:33.0min:
Epoch:[1/1](7600/22080) loss:2.622 lr:0.000417535361 epoch_Time:33.0min:
Epoch:[1/1](7700/22080) loss:2.474 lr:0.000414384143 epoch_Time:33.0min:
Epoch:[1/1](7800/22080) loss:2.638 lr:0.000411209769 epoch_Time:33.0min:
Epoch:[1/1](7900/22080) loss:2.414 lr:0.000408012883 epoch_Time:32.0min:
Epoch:[1/1](8000/22080) loss:3.090 lr:0.000404794130 epoch_Time:32.0min:
Epoch:[1/1](8100/22080) loss:2.491 lr:0.000401554163 epoch_Time:32.0min:
Epoch:[1/1](8200/22080) loss:2.753 lr:0.000398293637 epoch_Time:32.0min:
Epoch:[1/1](8300/22080) loss:2.716 lr:0.000395013213 epoch_Time:32.0min:
Epoch:[1/1](8400/22080) loss:2.542 lr:0.000391713555 epoch_Time:31.0min:
Epoch:[1/1](8500/22080) loss:2.454 lr:0.000388395330 epoch_Time:31.0min:
Epoch:[1/1](8600/22080) loss:2.298 lr:0.000385059210 epoch_Time:31.0min:
Epoch:[1/1](8700/22080) loss:2.249 lr:0.000381705871 epoch_Time:31.0min:
Epoch:[1/1](8800/22080) loss:3.152 lr:0.000378335992 epoch_Time:30.0min:
Epoch:[1/1](8900/22080) loss:2.279 lr:0.000374950254 epoch_Time:30.0min:
Epoch:[1/1](9000/22080) loss:2.409 lr:0.000371549344 epoch_Time:30.0min:
Epoch:[1/1](9100/22080) loss:3.893 lr:0.000368133949 epoch_Time:30.0min:
Epoch:[1/1](9200/22080) loss:2.711 lr:0.000364704761 epoch_Time:30.0min:
Epoch:[1/1](9300/22080) loss:2.673 lr:0.000361262475 epoch_Time:29.0min:
Epoch:[1/1](9400/22080) loss:2.625 lr:0.000357807786 epoch_Time:29.0min:
Epoch:[1/1](9500/22080) loss:2.485 lr:0.000354341395 epoch_Time:29.0min:
Epoch:[1/1](9600/22080) loss:2.510 lr:0.000350864003 epoch_Time:29.0min:
Epoch:[1/1](9700/22080) loss:2.413 lr:0.000347376315 epoch_Time:28.0min:
Epoch:[1/1](9800/22080) loss:2.273 lr:0.000343879035 epoch_Time:28.0min:
Epoch:[1/1](9900/22080) loss:2.644 lr:0.000340372873 epoch_Time:28.0min:
Epoch:[1/1](10000/22080) loss:2.376 lr:0.000336858537 epoch_Time:28.0min:
Epoch:[1/1](10100/22080) loss:2.153 lr:0.000333336740 epoch_Time:27.0min:
Epoch:[1/1](10200/22080) loss:2.163 lr:0.000329808194 epoch_Time:27.0min:
Epoch:[1/1](10300/22080) loss:2.177 lr:0.000326273614 epoch_Time:27.0min:
Epoch:[1/1](10400/22080) loss:2.164 lr:0.000322733716 epoch_Time:27.0min:
Epoch:[1/1](10500/22080) loss:2.216 lr:0.000319189215 epoch_Time:27.0min:
Epoch:[1/1](10600/22080) loss:2.237 lr:0.000315640829 epoch_Time:26.0min:
Epoch:[1/1](10700/22080) loss:2.179 lr:0.000312089277 epoch_Time:26.0min:
Epoch:[1/1](10800/22080) loss:2.368 lr:0.000308535278 epoch_Time:26.0min:
Epoch:[1/1](10900/22080) loss:2.204 lr:0.000304979550 epoch_Time:26.0min:
Epoch:[1/1](11000/22080) loss:2.404 lr:0.000301422815 epoch_Time:25.0min:
Epoch:[1/1](11100/22080) loss:2.332 lr:0.000297865792 epoch_Time:25.0min:
Epoch:[1/1](11200/22080) loss:2.588 lr:0.000294309201 epoch_Time:25.0min:
Epoch:[1/1](11300/22080) loss:2.653 lr:0.000290753761 epoch_Time:25.0min:
Epoch:[1/1](11400/22080) loss:2.570 lr:0.000287200194 epoch_Time:25.0min:
Epoch:[1/1](11500/22080) loss:3.503 lr:0.000283649218 epoch_Time:24.0min:
Epoch:[1/1](11600/22080) loss:2.291 lr:0.000280101552 epoch_Time:24.0min:
Epoch:[1/1](11700/22080) loss:2.432 lr:0.000276557914 epoch_Time:24.0min:
Epoch:[1/1](11800/22080) loss:1.880 lr:0.000273019021 epoch_Time:24.0min:
Epoch:[1/1](11900/22080) loss:2.120 lr:0.000269485591 epoch_Time:23.0min:
Epoch:[1/1](12000/22080) loss:2.390 lr:0.000265958338 epoch_Time:23.0min:
